,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
4,1.50096236494601e+18,1.50096236494601e+18,"2022-03-07 23:31:28 Paris, Madrid",2022-03-07,23:31:28,100,1.28447730222363e+18,knowbeloliv,KnowbelolivA,,🙁Russia is advancing fast &amp;controlling a country in the size of Ukraine! Which country among the Warsaw pact is the next? #Kyivunderattack #KyivNow @nytimes #UkraineRussianWar @KremlinRussia_E #UkraineUnderAttaсk #Russia #UkrainiansWillResist  @CNNPolitics #RussianUkrainianWar,en,nytimeskremlinrussia_ecnnpolitics,[],[],0,0,0,"['kyivunderattack', 'kyivnow', 'ukrainerussianwar', 'ukraineunderattaсk', 'russia', 'ukrainianswillresist', 'russianukrainianwar']",[],https://twitter.com/knowbeloliv/status/1500962364946014213,False,https://twitter.com/TheEconomist/status/1500955031402692612,0,,,,,,,,[],,,,
7,1.50095526531899e+18,1.50095526531899e+18,"2022-03-07 23:03:16 Paris, Madrid",2022-03-07,23:03:16,100,1.28447730222363e+18,knowbeloliv,KnowbelolivA,,The S-34 plane looks like a cigarette ash.😮  #Kyivunderattack #KyivNow @nytimes #UkraineRussianWar @KremlinRussia_E #UkraineUnderAttaсk #Russia #UkrainiansWillResist  @CNNPolitics #RussianUkrainianWar,en,nytimeskremlinrussia_ecnnpolitics,[],[],0,0,1,"['kyivunderattack', 'kyivnow', 'ukrainerussianwar', 'ukraineunderattaсk', 'russia', 'ukrainianswillresist', 'russianukrainianwar']",[],https://twitter.com/knowbeloliv/status/1500955265318985731,False,https://twitter.com/RALee85/status/1500856909498359808,0,,,,,,,,[],,,,
27,1.50093813816386e+18,1.50093813816386e+18,"2022-03-07 21:55:12 Paris, Madrid",2022-03-07,21:55:12,100,1.0554288432454e+18,_sajaawish,Sajawal Khan,,"The pain that war causes is same for all human beings, hoping all tyranny ends someday and all nations get equal justice.  #Palestine  #ukraine #UkrainiansWillResist #UkraineRussianWar  #Kashmir   Credits: @MoiNazimGraphcs  https://t.co/chaFHirrNC",en,moinazimgraphcs,[],['https://pbs.twimg.com/media/FNRnGFgWYAco9uq.jpg'],0,0,3,"['palestine', 'ukraine', 'ukrainianswillresist', 'ukrainerussianwar', 'kashmir']",[],https://twitter.com/_sajaawish/status/1500938138163859457,False,,1,https://pbs.twimg.com/media/FNRnGFgWYAco9uq.jpg,,,,,,,[],,,,
28,1.50093442979086e+18,1.50093442979086e+18,"2022-03-07 21:40:28 Paris, Madrid",2022-03-07,21:40:28,100,7.18784475858121e+17,hlcopters,Hlcopters,,Defense Department reports airspace above Ukraine remains contested  https://t.co/jRliMSnAUn #Aviation @DeptofDefense #DoD #Ukraine #Ukrainian #UkrainiansWillResist #Ukrainians #Aerospace #UkraineRussianWar #UkraineUnderAttaсk #UkraineWar,en,deptofdefense,['https://hlcopters.com/defense-department-reports-airspace-above-ukraine-remains-contested/'],[],0,1,1,"['aviation', 'dod', 'ukraine', 'ukrainian', 'ukrainianswillresist', 'ukrainians', 'aerospace', 'ukrainerussianwar', 'ukraineunderattaсk', 'ukrainewar']",[],https://twitter.com/hlcopters/status/1500934429790855176,False,,0,,,,,,,,[],,,,
41,1.50090208638453e+18,1.50090208638453e+18,"2022-03-07 19:31:57 Paris, Madrid",2022-03-07,19:31:57,100,299780605.0,claireparisjazz,ClaireParisJazz ن,,📣📣             Slava Ukraini !  💙 💛 🙏  @ZelenskyyUa  #Ukraine #Україна 🇺🇦 I #BelieveInUkraine  #UkraineWillResist #UkrainiansWillResist #PrayForUkraine #StandWithUkraine  #UkraineRussie #génocide  https://t.co/jPTkBno033,und,zelenskyyua,[],['https://pbs.twimg.com/media/FNRGd91X0Agpr9M.jpg'],0,0,1,"['ukraine', 'україна', 'believeinukraine', 'ukrainewillresist', 'ukrainianswillresist', 'prayforukraine', 'standwithukraine', 'ukrainerussie', 'génocide']",[],https://twitter.com/claireparisjazz/status/1500902086384529414,False,https://twitter.com/armedforcesukr/status/1500493473731993602,1,https://pbs.twimg.com/media/FNRGd91X0Agpr9M.jpg,,,,,,,[],,,,
45,1.50089526480202e+18,1.50089526480202e+18,"2022-03-07 19:04:51 Paris, Madrid",2022-03-07,19:04:51,100,299780605.0,claireparisjazz,ClaireParisJazz ن,,📣📣             Slava Ukraini !  💙 💛 🙏  @ZelenskyyUa  #Ukraine #Україна 🇺🇦 I #BelieveInUkraine  #UkraineWillResist #UkrainiansWillResist #PrayForUkraine #StandWithUkraine  #UkraineRussie #génocide,und,zelenskyyua,[],[],0,0,1,"['ukraine', 'україна', 'believeinukraine', 'ukrainewillresist', 'ukrainianswillresist', 'prayforukraine', 'standwithukraine', 'ukrainerussie', 'génocide']",[],https://twitter.com/claireparisjazz/status/1500895264802017288,False,https://twitter.com/bfmtv/status/1500761132323291136,0,,,,,,,,[],,,,
52,1.50087928759079e+18,1.50087928759079e+18,"2022-03-07 18:01:21 Paris, Madrid",2022-03-07,18:01:21,100,90548782.0,carlajakola,Carla Smith 🇺🇸🇮🇪🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿,,Ah I do believe the #UkrainiansWillResist and #JustSayNoToPutin and his demands. @Ukraine is a #SovereignNation NOT state of #Russia Verified by @UN and @EU_Commission,en,ukraineuneu_commission,[],[],0,0,0,"['ukrainianswillresist', 'justsaynotoputin', 'sovereignnation', 'russia']",[],https://twitter.com/CarlaJakola/status/1500879287590789122,False,https://twitter.com/kyivindependent/status/1500832884004831232,0,,,,,,,,[],,,,
66,1.50086124802354e+18,1.50086124802354e+18,"2022-03-07 16:49:40 Paris, Madrid",2022-03-07,16:49:40,100,18362017.0,ade1701,Ade1701,,@Shell_UKLtd @Shell_Aviation @ShellMotorsport @Shell @DmytroKuleba   #UkrainianCrisis #Ukraine #UkrainiansWillResist  After initially boycotting Russia’s oil Shell have backtracked and decided to profiteer from the murder of innocent Ukrainians. Boycott   https://t.co/oPuz8UL3oe,en,shell_aviationshellmotorsportshelldmytrokuleba,['https://qz.com/2138409/shell-is-buying-russian-oil-again-as-prices-skyrocket/'],[],0,0,0,"['ukrainiancrisis', 'ukraine', 'ukrainianswillresist']",[],https://twitter.com/Ade1701/status/1500861248023539712,False,,0,,,,,,,,[],,,,
79,1.50083806306862e+18,1.50083806306862e+18,"2022-03-07 15:17:33 Paris, Madrid",2022-03-07,15:17:33,100,326903239.0,ss171179,Suleyman 🇦🇿🇺🇦,,"#PrayForUkraine  #UkrainiansWillResist  #Ukrainian #UkraineRussiaWar  #UkraineWar  @ZelenskyyUa  OH MY GOD... SHOOTING AT PEACEFUL CITIZENS - 3 Chaplynka,Kherson region, Ukraine - 07.03.22  https://t.co/GHD3p5BLyW",en,zelenskyyua,[],[],1,1,0,"['prayforukraine', 'ukrainianswillresist', 'ukrainian', 'ukrainerussiawar', 'ukrainewar']",[],https://twitter.com/ss171179/status/1500838063068618754,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1500837613607034880/pu/img/7Th0PMa8R8-7fp6Q.jpg,,,,,,,[],,,,
91,1.50081067221248e+18,1.50081067221248e+18,"2022-03-07 13:28:42 Paris, Madrid",2022-03-07,13:28:42,100,1201629656.0,espsolutionses,ESP Solutions España,,"Empieza la carga de un viaje apasionante 🛤  Un camión cargado con la generosidad de los alumnos de @UMU y sus familias, emprende camino hacia la paz #WeAreUkraine 💙💛  #ESPsolutions #transporte #logistica #camiones #uk #TodosSomosUcrania #UkrainiansWillResist #paz #Ukrania  https://t.co/6n7e5r4YMu",es,umu,[],['https://pbs.twimg.com/media/FNPzV5AWUAEzY31.jpg'],1,4,8,"['weareukraine', 'espsolutions', 'transporte', 'logistica', 'camiones', 'uk', 'todossomosucrania', 'ukrainianswillresist', 'paz', 'ukrania']",[],https://twitter.com/ESPSolutionsES/status/1500810672212480003,False,,1,https://pbs.twimg.com/media/FNPzV5AWUAEzY31.jpg,,,,,,,[],,,,
